DewerID,RowID,1,2,3,4,5,6,7,8,9,10,Protein_FP,Date,Passage,NumCells,Notes,Protein_FP2,Date2,Passage2,NumCells2
"Assay Development Dewer 577 - Tower 1, Box A (first from top)",A,AICS012 CR1,AICS012 CR1,AICS012 CR1,AICS012 CR1,AICS012 CR1,AICS012 CR1,removed,removed,,,alpha tubulin mEGFP,4/14/16,P22,1x10^6,,,,,
"Assay Development Dewer 577 - Tower 1, Box A (first from top)",B,AICS012 CR2,AICS012 CR2,AICS012 CR2,AICS012 CR2,AICS012 CR2,AICS012 CR2,AICS012 CR2,AICS012 CR2,AICS012 CR2,,alpha tubulin mEGFP,4/14/16,P21,1x10^6,,,,,
"Assay Development Dewer 577 - Tower 1, Box A (first from top)",C,AICS007 CR3,AICS007 CR3,AICS007 CR3,AICS007 CR3,AICS007 CR3,AICS007 CR3,removed,removed,,,alpha actinin 1 mEGFP,4/14/16,P18,1x10^6,,,,,
"Assay Development Dewer 577 - Tower 1, Box A (first from top)",D,AICS006 CR2,AICS006 CR2,AICS006 CR2,AICS006 CR2,AICS006 CR2,AICS006 CR2,AICS006 CR2,AICS006 CR2,,,alpha tubulin mCherry,4/14/16,P21,1x10^6,,,,,
"Assay Development Dewer 577 - Tower 1, Box A (first from top)",E,AICS016 CR1 ,AICS016 CR1 ,AICS016 CR1 ,AICS016 CR1 ,AICS016 CR1 ,AICS016 CR1 ,AICS016 CR1 ,AICS016 CR1 ,removed,,beta actin mEGFP,4/15/16,P23,0.85x10^6,,,,,
"Assay Development Dewer 577 - Tower 1, Box A (first from top)",F,AICS016 CR2,AICS016 CR2,AICS016 CR2,AICS016 CR2,AICS016 CR2,AICS016 CR2,AICS016 CR2,AICS016 CR2,AICS016 CR2,,beta actin mEGFP,4/15/16,P23,0.65x10^6,,,,,
"Assay Development Dewer 577 - Tower 1, Box A (first from top)",G,AICS011 CR1,AICS011 CR1,AICS011 CR1,AICS011 CR1,AICS011 CR1,AICS011 CR1,AICS011 CR1,AICS011 CR1,removed,,TOMM20 mEGFP,4/15/16,P18,1x10^6,,,,,
"Assay Development Dewer 577 - Tower 1, Box A (first from top)",H,AICS013 CR1 ,AICS013 CR1 ,AICS013 CR1 ,AICS013 CR1 ,AICS013 CR1 ,AICS013 CR1 ,AICS013 CR1 ,AICS013 CR1 ,removed,,Lamin B1 mEGFP,4/15/16,P19,1x10^6,,,,,
"Assay Development Dewer 577 - Tower 1, Box A (first from top)",I,AICS013 CR2,AICS013 CR2,AICS013 CR2,AICS013 CR2,AICS013 CR2,AICS013 CR2,AICS013 CR2,AICS013 CR2,,,Lamin B1 mEGFP,4/15/16,P19,1x10^6,,,,,
"Assay Development Dewer 577 - Tower 1, Box A (first from top)",J,,AICS005 CR2,AICS005 CR2,AICS005 CR2,AICS005 CR2,AICS005 CR2,AICS005 CR2,AICS005 CR2,AICS005 CR2,AICS005 CR2,Paxillin EGFP,4/18/16,P20,1x10^6,,,,,
"Assay Development Dewer 577 - Tower 1, Box B",A,AICS017 CR2,AICS017 CR2,AICS017 CR2,AICS017 CR2,AICS017 CR2,AICS017 CR2,AICS017 CR2,AICS017 CR2,,AICS027 CR3,Desmoplakin mEGFP,4/18/16,P23,1x10^6,,Centrin2 tdTomato,11/7/16,P18,1x10^6
"Assay Development Dewer 577 - Tower 1, Box B",B,AICS017 CR1,AICS017 CR1,AICS017 CR1,AICS017 CR1,AICS017 CR1,AICS017 CR1,AICS017 CR1,AICS017 CR1,removed,AICS027 CR3,Desmoplakin mEGFP,4/22/16,P24,1x10^6,,,,,
"Assay Development Dewer 577 - Tower 1, Box B",C,AICS005 CL50,AICS005 CL50,AICS005 CL50,AICS005 CL50,AICS005 CL50,AICS005 CL50,AICS005 CL50,AICS005 CL50,removed,AICS027 CR3,Paxillin EGFP,5/10/16,P25,1x10^6,,,,,
"Assay Development Dewer 577 - Tower 1, Box B",D,AICS005 CL39,AICS005 CL39,AICS005 CL39,AICS005 CL39,AICS005 CL39,AICS005 CL39,AICS005 CL39,,,AICS027 CR3,Paxillin EGFP,5/10/16,P25,6x10^5,,,,,
"Assay Development Dewer 577 - Tower 1, Box B",E,AICS005 CL45,AICS005 CL45,AICS005 CL45,AICS005 CL45,AICS005 CL45,AICS005 CL45,AICS005 CL45,AICS005 CL45,AICS005 CL45,AICS027 CR3,Paxillin EGFP,5/10/16,P25,1x10^6,,,,,
"Assay Development Dewer 577 - Tower 1, Box B",F,AICS005 CL52,AICS005 CL52,AICS005 CL52,AICS005 CL52,AICS005 CL52,AICS005 CL52,AICS005 CL52,AICS005 CL52,AICS005 CL52,AICS027 CR3,Paxillin EGFP,5/10/16,P25,1x10^6,,,,,
"Assay Development Dewer 577 - Tower 1, Box B",G,AICS005 CL 53,AICS005 CL 53,AICS005 CL 53,AICS005 CL 53,AICS005 CL 53,AICS005 CL 53,AICS005 CL 53,AICS005 CL 53,removed,AICS027 CR3,Paxillin EGFP,5/10/16,P24,1x10^6,,,,,
"Assay Development Dewer 577 - Tower 1, Box B",H,AICS010 CR2,AICS010 CR2,AICS010 CR2,AICS010 CR2,AICS010 CR2,AICS010 CR2,AICS010 CR2,AICS010 CR2,AICS010 CR2,AICS027 CR3,Sec61beta mEGFP,5/28/16,P15,1x10^6,,,,,
